Trial,bfs,bfs (cost),dfs,dfs (cost),dijkstras,dijkstras (cost),aStar,aStar (cost),bidirectional,bidirectional (cost),greedy,greedy (cost)
227,0.0006018999847583473,290.34087317734867,0.0003945999778807163,10264.764688557627,0.028405799996107817,281.44228870851924,0.03656430001137778,281.44228870851924,0.008724099956452847,284.83204971195545,0.0007826000219210982,304.71507583214054
228,0.0009811000199988484,418.51298897810403,0.00014720001490786672,5273.715409187816,0.037940000009257346,383.73924533257633,0.10448209999594837,383.73924533257633,0.016865500016137958,408.0250811868953,0.0009055999689735472,407.04842921234984
229,0.00034559995401650667,227.89181253861156,0.0005827000131830573,11429.866558116008,0.01813340000808239,214.1705259909802,0.036725500016473234,214.1705259909802,0.003815000003669411,236.20419858984107,0.0007354000117629766,225.44660050191555
230,0.0004556000349111855,199.72185775225302,0.00020060001406818628,6831.672491621661,0.02155130001483485,189.16921526766367,0.009133499988820404,189.16921526766367,0.0021161999902687967,195.25546689750266,0.00036100001307204366,194.801009577237
231,0.0003635000321082771,271.7574325379875,5.789997521787882e-05,1631.7048768540549,0.016861099982634187,235.46024311611558,0.029472400026861578,235.46024311611558,0.0033398999948985875,259.5066659467565,0.0005157999694347382,267.26716134352097
232,0.0007078000344336033,284.0636346423934,0.00017990003107115626,5828.403622859424,0.03459699999075383,271.6410517075895,0.029378000006545335,271.6410517075895,0.011069900006987154,301.906458224411,0.0008069000323303044,283.7538171537195
233,0.0005668000085279346,316.6492039531945,0.00021229998674243689,7508.709066740182,0.023645400011446327,295.2379509617097,0.029991100018378347,295.2379509617097,0.01121150003746152,316.90766906755937,0.0008067999733611941,328.3743514585381
234,0.00046060001477599144,184.11539160121862,7.569999434053898e-05,2257.202966397602,0.021650000009685755,169.0755228890804,0.005057099973782897,169.0755228890804,0.0020736000151373446,190.21311320575424,0.0007232999778352678,184.759388586531
235,0.0007577000069431961,247.57478301607443,0.00014509999891743064,4782.688977879677,0.032843600027263165,240.55067705421678,0.013170899997930974,240.55067705421678,0.005197999998927116,258.45892386146824,0.0006061999592930079,244.2788932427448
236,0.00036669999826699495,165.44338999671066,0.0002175000263378024,7170.103176469559,0.017221799993421882,151.58222892695733,0.004899499996099621,151.58222892695733,0.001652900013141334,155.09960858908357,0.0003464000183157623,158.16543083412972
237,0.0003176000318489969,220.83765867391799,0.00034309999318793416,9302.313541389361,0.010374500008765608,194.0061119219097,0.009546299988869578,194.0061119219097,0.002696199982892722,227.5388833585338,0.0005017000366933644,231.23629013126813
238,0.0006117000011727214,244.4140764992241,9.270000737160444e-05,3323.1389620082023,0.02407159999711439,234.953615557479,0.03814270003931597,234.953615557479,0.005091700004413724,242.33899086244418,0.019417000003159046,-1
239,0.000851699966005981,281.801270756027,3.0099996365606785e-05,1185.594011436561,0.025422499980777502,274.87746354809065,0.04839370003901422,274.87746354809065,0.0083592000300996,289.12436127458005,0.039272200025152415,-1
240,0.0005600000149570405,260.42252713188395,0.0007676999666728079,8151.203181868955,0.023032199998851866,247.44915920403352,0.015076700015924871,247.44915920403352,0.008071599993854761,260.93711206999546,0.0007813000120222569,269.6364469571969
241,6.769999163225293e-05,77.89395296927398,0.0003097999724559486,8580.610123045193,0.0038899999926798046,77.89395296927398,0.0007613999769091606,77.89395296927398,0.0001333000254817307,77.89395296927398,0.0001981999957934022,84.70895129075454
242,4.410004476085305e-05,59.259071860317704,0.0002856999635696411,7592.41870034329,0.003047899983357638,56.691790395742174,0.0010480000055395067,56.691790395742174,0.00012069998774677515,59.259071860317704,0.0002637000288814306,59.259071860317704
243,0.0008162999874912202,333.3683708626815,0.00045980000868439674,11174.947340088345,0.03264659998239949,312.7193164677959,0.0461180999991484,312.7193164677959,0.010309800039976835,321.6954764007364,0.0336756999604404,-1
244,0.0006014000391587615,289.9207578149093,0.00021489994833245873,7439.417928634481,0.02423470001667738,263.8009003898278,0.021264299983158708,263.8009003898278,0.008500600000843406,294.31878318202916,0.0006494999979622662,288.40242969361657
245,0.0008512000204063952,210.0194048129033,6.960000609979033e-05,2519.6466598272323,0.021528900018893182,190.34573895873052,0.00872079998953268,190.34573895873052,0.00282100000185892,211.79626873894136,0.0003760999534279108,191.82267094560598
246,0.00044220004929229617,208.77842410811095,0.00025379995349794626,7234.379087278844,0.016352200007531792,190.42707762152497,0.01910799997858703,190.42707762152497,0.005497500009369105,224.2956039919309,0.0005670000100508332,210.49410317392815
247,0.00046150002162903547,168.56780539949247,7.139996159821749e-05,2200.8087692765803,0.015945899998769164,142.0782507090051,0.006554199964739382,142.0782507090051,0.001125300012063235,158.41386622737053,0.0003754999488592148,151.52211947331097
248,3.8300000596791506e-05,57.440959614658524,0.00043159996857866645,10468.358097610528,0.0032560000545345247,57.440959614658524,0.001066099968738854,57.440959614658524,4.349998198449612e-05,59.25881263349655,0.0002497999812476337,64.0181508811335
249,0.0010251000057905912,66.98761267784,0.0014679000014439225,9626.059372839673,0.0036626000073738396,53.3663700627189,0.0015524000045843422,53.3663700627189,4.569999873638153e-05,53.3663700627189,0.0002707999665290117,54.07174116872384
250,0.0005481999833136797,281.3047648319497,0.0003856000257655978,9973.87051712152,0.025764599966350943,277.75712315223876,0.022004200029186904,277.75712315223876,0.006446200015489012,280.16994315259876,0.05790690000867471,-1
251,0.0005765000241808593,290.7050420434763,0.0001058999914675951,4178.935973772637,0.02454999997280538,274.11675872494584,0.028130899998359382,274.11675872494584,0.007175300037488341,292.80541994064953,0.0005621000309474766,278.3246960598455
252,0.0011838999926112592,335.3298578369284,0.0003027999773621559,5125.92623630047,0.049813700024969876,312.3132386671925,0.061756999988574535,312.3132386671925,0.012679699982982129,328.53034244246163,0.0010101000079885125,315.1274735248168
253,0.0006510000093840063,336.6605180377504,0.00046039995504543185,7496.922827882107,0.0330932000069879,302.8759367851899,0.05131240002810955,302.8759367851899,0.013686900027096272,344.846634298622,0.000867100025061518,331.09167031365894
254,0.0001748999929986894,138.5051471796629,0.00011299998732283711,3235.3342128599656,0.0073012999491766095,136.2219901820914,0.004749200015794486,136.2219901820914,0.0006714999908581376,143.12882877505743,0.0007648000027984381,146.12273922756057
255,0.0008793000015430152,400.1356954075876,0.00026459997752681375,5734.401156722532,0.03604269999777898,380.4937110062152,0.09164330002386123,380.4937110062152,0.01124980003805831,400.2720513733356,0.0009416999528184533,396.12123303767885
